causes,total,male,female,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years ,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years 
Skin diseases,"83,895","36,435","47,460",0,1517,357,970,"3,803",4199,6413,19177,0,2679,439,772,"2,629",3867,5928,31146
Musculoskeletal diseases,"132,122","45,580","86,543",0,0,396,"1,198","3,483","4,267","8,496","27,739",0,0,784,"3,922","8,845","7,117","12,571","53,303"
Rheumatoid arthritis,"37,740","11,782","25,958",0,0,33,70,490,979,"2,562","7,647",0,0,51,113,978,"2,002","5,212","17,602"
Osteoarthritis,"4,657","1,452","3,204",0,0,1,1,25,50,125,"1,251",0,0,0,1,12,36,131,"3,025"
Gout,830,639,191,0,0,0,3,70,95,152,319,0,0,0,0,3,6,13,169
Back and neck pain,4430,2356,2074,0,0,1,6,71,214,406,1658,0,0,0,4,28,96,223,1722
Other musculoskeletal disorders,84465,29350,55115,0,0,361,1117,2828,2929,5252,16864,0,0,733,3805,7823,4977,6992,30785
Congenital anomalies,581983,318874,263109,165124,109907,16118,10413,8685,3587,3002,2037,133716,89202,15943,8166,7523,3354,2725,2481
Neural tube defects,88718,41525,47193,24199,15282,1212,350,317,82,66,16,26978,17843,1561,361,294,78,65,13
Cleft lip and cleft palate,3255,1639,1615,1094,533,3,1,0,2,0,6,1186,428,0,0,0,0,0,1
Down syndrome,21912,10984,10929,2583,3900,603,568,1012,1185,1027,105,2696,3811,654,528,1026,1234,868,112
Congenital heart anomalies,229248,129686,99563,58432,48333,8414,6518,4902,1366,1019,701,43020,35858,8253,5015,4162,1204,952,1098
Other chromosomal anomalies,21371,10843,10528,5751,3344,409,409,383,151,112,284,5622,3373,498,299,244,99,90,303
Other congenital anomalies,217479,124197,93282,73064,38514,5477,2567,2071,800,779,925,54214,27888,4976,1964,1796,739,750,954
Oral conditions,1143,536,607,0,0,3,20,73,75,68,296,0,0,0,11,28,36,52,480
Sudden infant death syndrome,33950,19095,14855,366,18723,0,0,0,0,0,6,295,14555,0,0,0,1,1,3
Injuries,4423845,3035518,1388327,18289,151162,156180,682155,881205,393667,311766,441094,15111,134228,94631,185049,243687,143263,153694,418663
Unintentional injuries,3076592,2056436,1020156,15460,137640,132754,373583,539909,271500,230030,355560,12323,119498,77174,92463,142440,98000,116766,361493
Road injury,1245500,933398,312102,946,28320,60894,231608,297172,131445,97691,85322,597,22779,35016,50584,71146,43835,40516,47630
Poisonings,87237,54746,32491,742,9611,3618,7152,12906,7474,6580,6664,329,8627,2562,3541,5303,3156,3363,5610
Falls,611540,341318,270222,1272,9290,9055,21354,56714,43546,50786,149301,1299,7921,4396,4941,11852,15387,32852,191575
"Fire, heat and hot substances",111708,58514,53194,571,11382,3678,6200,12618,7350,6661,10054,440,11905,3924,7042,9220,4432,4766,11466
Drowning,248289,169513,78776,606,30369,27266,32286,34104,15608,12879,16395,408,24987,12383,6255,8231,5669,6403,14440
Exposure to mechanical forces,129808,97678,32130,2403,6899,5168,19984,33069,13898,8722,7536,1929,6370,2964,3392,5828,3097,3199,5351
Natural disasters,14737,8781,5955,26,623,1458,2553,2040,827,641,614,20,615,1090,1288,1249,534,510,650
Other unintentional injuries,627773,392488,235284,8896,41146,21616,52447,91287,51352,46071,79674,7302,36294,14841,15420,29611,21890,25157,84771
Intentional injuries,1347253,979082,368171,2829,13522,23425,308573,341296,122167,81737,85534,2788,14731,17457,92586,101246,45263,36929,57171
Self-harm,695099,481852,213247,0,0,6131,105662,171465,78127,56074,64394,0,0,3967,52626,62604,32067,25682,36301
Interpersonal violence,465778,372895,92883,0,5246,8495,150352,140132,37399,19692,11580,0,4721,4997,28553,30168,9598,7207,7639
